                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.1444,                 2.1972,                0.28809,                  0.967,                  1.207,                0.38847,                0.42857,                0.36251,                0.22179,                0.29888,                0.07143,                0.08546,                0.00911,                 1.7224,                 8.3855,                0.64901,                 3.1114,                 1.6562,             0.00036606,             0.00036606,             0.00036606
                     79,                 1.0039,                 4.0765,                0.34798,                0.88986,                 1.2367,                0.38847,                0.42857,                0.36251,                0.22179,                0.29888,                0.07143,                0.08546,                0.00911,                 1.7224,                 8.3855,                0.64901,                 3.1114,                 1.6562,             0.00035537,             0.00035537,             0.00035537
                     80,                 1.1457,                 3.7931,                0.30266,                 0.7498,                 1.2411,                0.38847,                0.42857,                0.36251,                0.22179,                0.29888,                0.07143,                0.08546,                0.00911,                 1.7224,                 8.3855,                0.64901,                 3.1114,                 1.6562,             0.00034428,             0.00034428,             0.00034428
                     81,                0.90855,                 2.4335,                0.27975,                0.62444,                 1.0376,                0.49477,                0.35714,                 0.3842,                 0.2255,                0.46127,                0.07143,                0.07805,                0.01661,                 1.6876,                 8.4457,                0.65055,                 3.1806,                 1.6589,              0.0003328,              0.0003328,              0.0003328
                     82,                 1.0398,                 2.7422,                0.29664,                  0.831,                 1.2132,                0.49477,                0.35714,                 0.3842,                 0.2255,                0.46127,                0.07143,                0.07805,                0.01661,                 1.6876,                 8.4457,                0.65055,                 3.1806,                 1.6589,             0.00032092,             0.00032092,             0.00032092
                     83,                0.83387,                 2.8978,                0.35399,                0.66589,                0.97453,                0.49477,                0.35714,                 0.3842,                 0.2255,                0.46127,                0.07143,                0.07805,                0.01661,                 1.6876,                 8.4457,                0.65055,                 3.1806,                 1.6589,             0.00030865,             0.00030865,             0.00030865
                     84,                0.94621,                 3.3231,                0.39131,                0.75534,                 1.0548,                0.49877,                0.42663,                0.39155,                 0.2349,                0.46037,                0.07143,                0.08315,                0.03167,                 1.6569,                 8.4092,                0.64386,                 3.0903,                  1.642,             0.00029598,             0.00029598,             0.00029598
                     85,                 0.9715,                 3.5407,                0.28876,                0.72262,                 1.1206,                0.49877,                0.42663,                0.39155,                 0.2349,                0.46037,                0.07143,                0.08315,                0.03167,                 1.6569,                 8.4092,                0.64386,                 3.0903,                  1.642,             0.00028291,             0.00028291,             0.00028291
                     86,                 1.0902,                 3.2242,                0.36038,                0.82533,                 1.1054,                0.49877,                0.42663,                0.39155,                 0.2349,                0.46037,                0.07143,                0.08315,                0.03167,                 1.6569,                 8.4092,                0.64386,                 3.0903,                  1.642,             0.00026945,             0.00026945,             0.00026945
                     87,                 1.1039,                 3.3165,                0.30503,                0.94136,                 1.1102,                0.49877,                0.42663,                0.39155,                 0.2349,                0.46037,                0.07143,                0.08315,                0.03167,                 1.6569,                 8.4092,                0.64386,                 3.0903,                  1.642,             0.00025559,             0.00025559,             0.00025559
                     88,                0.68178,                 2.2318,                0.29668,                0.60039,                  1.084,                0.50569,                0.36608,                0.38976,                0.22973,                0.27816,                0.14286,                0.11665,                0.04274,                 1.6289,                  8.336,                0.62567,                 3.0721,                 1.6414,             0.00024134,             0.00024134,             0.00024134
                     89,                 1.3473,                 5.8371,                0.33464,                 1.2491,                 1.3211,                0.50569,                0.36608,                0.38976,                0.22973,                0.27816,                0.14286,                0.11665,                0.04274,                 1.6289,                  8.336,                0.62567,                 3.0721,                 1.6414,             0.00022669,             0.00022669,             0.00022669
